Id,Predicted
1_939,0.013143586661851454
1_940,0.018258086596217478
1_941,0.027995528571509967
1_942,0.04145959
1_943,0.057572992
1_944,0.075388053
1_945,0.094350051
1_946,0.11430658386194342
1_947,0.13522352242691632
1_948,0.1567753422528171
1_949,0.17809455481614056
1_950,0.19787765872111376
1_951,0.2147751307216924
1_952,0.2278366535057011
1_953,0.23676539153016948
1_954,0.2418946648551316
1_955,0.24397366730981718
1_956,0.24391492693195554
1_957,0.24261023437103474
1_958,0.24081418013886718
1_959,0.23907853261988213
1_960,0.2376972574648317
1_961,0.23668259519009577
1_962,0.2357703415325759
1_963,0.2344425009643966
1_964,0.2319809278332653
1_965,0.2275426162373463
1_966,0.22033123642849747
1_967,0.20987093061659381
1_968,0.1963355743057982
1_969,0.18078792240535643
1_970,0.1651536837424842
1_971,0.15183571951764294
1_972,0.1430416063630407
1_973,0.1400757997990396
1_974,0.1429010877007364
1_975,0.1501871218208265
1_976,0.15981452687598394
1_977,0.16958893595782942
1_978,0.17782934663337185
1_979,0.1836206943487458
1_980,0.1867187541347318
1_981,0.1872965028576486
1_982,0.18574302722964545
1_983,0.18262883628466867
1_984,0.17879176208750178
1_985,0.1753806784292446
1_986,0.1736964294849333
1_987,0.17482733608721876
1_988,0.17923348941199363
1_989,0.18651261772876207
1_990,0.19551051602793976
1_991,0.2047038357189193
1_992,0.21265786700890849
1_993,0.21832263269403968
1_994,0.22108924808493996
1_995,0.22066956887252287
1_996,0.2169610065991298
1_997,0.2100000374156824
1_998,0.20002054858928445
1_999,0.18752573470692546
1_1000,0.17329971728790888
1_1001,0.1583437950288488
1_1002,0.14378566911859894
1_1003,0.1308142669230596
1_1004,0.1206207690733176
1_1005,0.11428757986339798
1_1006,0.11257034016000722
1_1007,0.11563635720212674
1_1008,0.12289525272620966
1_1009,0.1330538696645462
1_1010,0.144420176
1_1011,0.15533323265846943
1_1012,0.16454179249947432
1_1013,0.1713683059084941
1_1014,0.17564075257351736
1_1015,0.17745912183745718
1_1016,0.1769601015224582
1_1017,0.17420640609510243
1_1018,0.1692651030844833
1_1019,0.16242719121285526
1_1020,0.15443680249740285
1_1021,0.14657089133103662
1_1022,0.14047181931583322
1_1023,0.13777325292643483
1_1024,0.13967386260577402
1_1025,0.14663613455052046
1_1026,0.1583346573045142
1_1027,0.17384044485696173
1_1028,0.1919316854488386
1_1029,0.21138107777218149
