Id,Score
1_939,0.013071796737842582
1_940,0.01816281228229189
1_941,0.027855384133459078
1_942,0.041257432350451304
1_943,0.05729713935429066
1_944,0.07503254319480333
1_945,0.09391278476399764
1_946,0.11378599110608544
1_947,0.13461470254511212
1_948,0.156068599242149
1_949,0.1772779101711643
1_950,0.19694382729065543
1_951,0.21373003853686204
1_952,0.22670493578999507
1_953,0.2355885559579304
1_954,0.24072022617896296
1_955,0.2428372905753765
1_956,0.24282141090245074
1_957,0.24152175534863274
1_958,0.23965335632788112
1_959,0.23774840310541653
1_960,0.23611172555412632
1_961,0.23479475141821327
1_962,0.2335871632858012
1_963,0.23202262968672285
1_964,0.22941980886479102
1_965,0.22495396267826398
1_966,0.21783009215141366
1_967,0.2075595848852054
1_968,0.1942914947850693
1_969,0.17905435664173847
1_970,0.16373563559926207
1_971,0.15070356904725388
1_972,0.14214192735901357
1_973,0.1393451130236346
1_974,0.14227872930604235
1_975,0.1496237527776524
1_976,0.15927608916370833
1_977,0.1690571636203381
1_978,0.17729985685966898
1_979,0.18310013533916267
1_980,0.18622118490551137
1_981,0.18683883198863477
1_982,0.1853393490777777
1_983,0.182284767427926
1_984,0.17850124453290045
1_985,0.1751281390758419
1_986,0.17346479349910646
1_987,0.1746080657103274
1_988,0.1790329951912313
1_989,0.18634959246285326
1_990,0.19540587216036356
1_991,0.20466832416900527
1_992,0.2126836900280839
1_993,0.21838219076992738
1_994,0.22114040326618076
1_995,0.22066515625743255
1_996,0.21686037444133557
1_997,0.20978005632718108
1_998,0.1996827233087908
1_999,0.18709586101407838
1_1000,0.17281989196323078
1_1001,0.15786013961845857
1_1002,0.1433379000065305
1_1003,0.13043217889404163
1_1004,0.12032758124150313
1_1005,0.11410668471261896
1_1006,0.1125299131276229
1_1007,0.11576815820308992
1_1008,0.12322767126462882
1_1009,0.1336029177140055
1_1010,0.14518307822924753
1_1011,0.15628769080939503
1_1012,0.16565055372528606
1_1013,0.17258551555737608
1_1014,0.1769169559888401
1_1015,0.17874172944886116
1_1016,0.17819038545900454
1_1017,0.17531524576834895
1_1018,0.17017120519093265
1_1019,0.163041237385382
1_1020,0.15467289424860314
1_1021,0.14636387964412403
1_1022,0.13979516435295802
1_1023,0.136650946491388
1_1024,0.13818140527417216
1_1025,0.14489026575441896
1_1026,0.15647713007174774
1_1027,0.1720224345749213
1_1028,0.19030258073425957
1_1029,0.2100799401720261
1_1030,0.23026102771297385
1_1031,0.2498922553901131
1_1032,0.2680862934074669
1_1033,0.28397674567861747
1_1034,0.29675735604214015
1_1035,0.3057678824402137
1_1036,0.31053569374391043
1_1037,0.310747452586872
1_1038,0.3062233163248105
1_1039,0.29700063024287443
1_1040,0.28357300800464375
1_1041,0.2671614000080564
1_1042,0.24979927840490884
1_1043,0.2340483966498512
1_1044,0.22235512188723872
1_1045,0.21630747298692826
1_1046,0.21615029153073537
1_1047,0.22081922388181138
1_1048,0.22844614337178623
1_1049,0.2370651459724028
1_1050,0.2451640491008363
1_1051,0.25190200865471635
1_1052,0.25700960689013647
1_1053,0.26054877220044675
1_1054,0.262669955464801
1_1055,0.2634409785691813
1_1056,0.26276440523880457
1_1057,0.2603504562506763
1_1058,0.25579557429317756
1_1059,0.24877036262829194
1_1060,0.23930498073875875
1_1061,0.22808708049174112
1_1062,0.21660006864266412
1_1063,0.20695665376168193
1_1064,0.20137840256163753
1_1065,0.20147226608563965
1_1066,0.20761415333786565
1_1067,0.2187411675219212
1_1068,0.23269077933737306
1_1069,0.24691141532992886
1_1070,0.25920882050174177
1_1071,0.26816785595593234
1_1072,0.2731358614943591
1_1073,0.27387854830486286
1_1074,0.2701813847340324
1_1075,0.2616400196463938
1_1076,0.24774852849597498
1_1077,0.22824062479385132
1_1078,0.2034901526023168
1_1079,0.17476236628865546
1_1080,0.14413568121470155
1_1081,0.11408434421462782
1_1082,0.0868892593567318
1_1083,0.06412530788029985
1_1084,0.04643946271744579
1_1085,0.03365970839734639
1_1086,0.025111427480922006
1_1087,0.019985722979031183
1_1088,0.01760929579477677
1_1089,0.017582733535630318
1_1090,0.019793741280959894
1_1091,0.02435441591472424
